ID Wedge_name Max_depth young friction radius_diff
64 '45' 0.033 3662500.0 44.0 0.0
65 '45' 0.033 3800000.0 44.0 0.0
66 '45' 0.033 2700000.0 42.0 0.0
67 '45' 0.033 2700000.0 42.25 0.0
68 '45' 0.033 2700000.0 42.5 0.0
69 '45' 0.033 2700000.0 42.75 0.0
70 '45' 0.033 2700000.0 43.0 0.0
71 '45' 0.033 2700000.0 43.25 0.0
72 '45' 0.033 2700000.0 43.5 0.0
73 '45' 0.033 2700000.0 43.75 0.0
74 '45' 0.033 2700000.0 44.25 0.0
75 '45' 0.033 2700000.0 44.5 0.0
76 '45' 0.033 2700000.0 44.75 0.0
77 '45' 0.033 2700000.0 45.0 0.0
78 '45' 0.033 2700000.0 45.25 0.0
79 '45' 0.033 2700000.0 45.5 0.0
80 '45' 0.033 2700000.0 45.75 0.0
81 '45' 0.033 2700000.0 46.0 0.0
82 '45' 0.033 2700000.0 44.0 -0.0001
83 '45' 0.033 2700000.0 44.0 -8.75e-05
84 '45' 0.033 2700000.0 44.0 -7.500000000000001e-05
85 '45' 0.033 2700000.0 44.0 -6.25e-05
86 '45' 0.033 2700000.0 44.0 -5e-05
87 '45' 0.033 2700000.0 44.0 -3.7500000000000003e-05
88 '45' 0.033 2700000.0 44.0 -2.5e-05
89 '45' 0.033 2700000.0 44.0 -1.25e-05
90 '45' 0.033 2700000.0 44.0 1.25e-05
91 '45' 0.033 2700000.0 44.0 2.5e-05
92 '45' 0.033 2700000.0 44.0 3.7500000000000003e-05
93 '45' 0.033 2700000.0 44.0 5e-05
94 '45' 0.033 2700000.0 44.0 6.25e-05
95 '45' 0.033 2700000.0 44.0 7.500000000000001e-05
