ID Wedge_name Max_depth young brush_friction print_frction radius_diff
96 '45' 0.033 2700000.0 45.75 24.0 0.0
97 '45' 0.033 2700000.0 46.0 24.0 0.0
98 '45' 0.033 2700000.0 44.0 22.0 0.0
99 '45' 0.033 2700000.0 44.0 22.25 0.0
100 '45' 0.033 2700000.0 44.0 22.5 0.0
101 '45' 0.033 2700000.0 44.0 22.75 0.0
102 '45' 0.033 2700000.0 44.0 23.0 0.0
103 '45' 0.033 2700000.0 44.0 23.25 0.0
104 '45' 0.033 2700000.0 44.0 23.5 0.0
105 '45' 0.033 2700000.0 44.0 23.75 0.0
106 '45' 0.033 2700000.0 44.0 24.25 0.0
107 '45' 0.033 2700000.0 44.0 24.5 0.0
108 '45' 0.033 2700000.0 44.0 24.75 0.0
109 '45' 0.033 2700000.0 44.0 25.0 0.0
110 '45' 0.033 2700000.0 44.0 25.25 0.0
111 '45' 0.033 2700000.0 44.0 25.5 0.0
112 '45' 0.033 2700000.0 44.0 25.75 0.0
113 '45' 0.033 2700000.0 44.0 26.0 0.0
114 '45' 0.033 2700000.0 44.0 24.0 -0.0001
115 '45' 0.033 2700000.0 44.0 24.0 -8.75e-05
116 '45' 0.033 2700000.0 44.0 24.0 -7.500000000000001e-05
117 '45' 0.033 2700000.0 44.0 24.0 -6.25e-05
118 '45' 0.033 2700000.0 44.0 24.0 -5e-05
119 '45' 0.033 2700000.0 44.0 24.0 -3.7500000000000003e-05
120 '45' 0.033 2700000.0 44.0 24.0 -2.5e-05
121 '45' 0.033 2700000.0 44.0 24.0 -1.25e-05
122 '45' 0.033 2700000.0 44.0 24.0 1.25e-05
123 '45' 0.033 2700000.0 44.0 24.0 2.5e-05
124 '45' 0.033 2700000.0 44.0 24.0 3.7500000000000003e-05
125 '45' 0.033 2700000.0 44.0 24.0 5e-05
126 '45' 0.033 2700000.0 44.0 24.0 6.25e-05
127 '45' 0.033 2700000.0 44.0 24.0 7.500000000000001e-05
