ID Wedge_name Max_depth young brush_friction print_frction radius_diff
0 '30' 0.033 2700000.0 44.0 24.0 0.0
1 '30' 0.033 1600000.0 44.0 24.0 0.0
2 '30' 0.033 1737500.0 44.0 24.0 0.0
3 '30' 0.033 1875000.0 44.0 24.0 0.0
4 '30' 0.033 2012500.0 44.0 24.0 0.0
5 '30' 0.033 2150000.0 44.0 24.0 0.0
6 '30' 0.033 2287500.0 44.0 24.0 0.0
7 '30' 0.033 2425000.0 44.0 24.0 0.0
8 '30' 0.033 2562500.0 44.0 24.0 0.0
9 '30' 0.033 2837500.0 44.0 24.0 0.0
10 '30' 0.033 2975000.0 44.0 24.0 0.0
11 '30' 0.033 3112500.0 44.0 24.0 0.0
12 '30' 0.033 3250000.0 44.0 24.0 0.0
13 '30' 0.033 3387500.0 44.0 24.0 0.0
14 '30' 0.033 3525000.0 44.0 24.0 0.0
15 '30' 0.033 3662500.0 44.0 24.0 0.0
16 '30' 0.033 3800000.0 44.0 24.0 0.0
17 '30' 0.033 2700000.0 42.0 24.0 0.0
18 '30' 0.033 2700000.0 42.25 24.0 0.0
19 '30' 0.033 2700000.0 42.5 24.0 0.0
20 '30' 0.033 2700000.0 42.75 24.0 0.0
21 '30' 0.033 2700000.0 43.0 24.0 0.0
22 '30' 0.033 2700000.0 43.25 24.0 0.0
23 '30' 0.033 2700000.0 43.5 24.0 0.0
24 '30' 0.033 2700000.0 43.75 24.0 0.0
25 '30' 0.033 2700000.0 44.25 24.0 0.0
26 '30' 0.033 2700000.0 44.5 24.0 0.0
27 '30' 0.033 2700000.0 44.75 24.0 0.0
28 '30' 0.033 2700000.0 45.0 24.0 0.0
29 '30' 0.033 2700000.0 45.25 24.0 0.0
30 '30' 0.033 2700000.0 45.5 24.0 0.0
31 '30' 0.033 2700000.0 45.75 24.0 0.0
32 '30' 0.033 2700000.0 46.0 24.0 0.0
33 '30' 0.033 2700000.0 44.0 22.0 0.0
34 '30' 0.033 2700000.0 44.0 22.25 0.0
35 '30' 0.033 2700000.0 44.0 22.5 0.0
36 '30' 0.033 2700000.0 44.0 22.75 0.0
37 '30' 0.033 2700000.0 44.0 23.0 0.0
38 '30' 0.033 2700000.0 44.0 23.25 0.0
39 '30' 0.033 2700000.0 44.0 23.5 0.0
40 '30' 0.033 2700000.0 44.0 23.75 0.0
41 '30' 0.033 2700000.0 44.0 24.25 0.0
42 '30' 0.033 2700000.0 44.0 24.5 0.0
43 '30' 0.033 2700000.0 44.0 24.75 0.0
44 '30' 0.033 2700000.0 44.0 25.0 0.0
45 '30' 0.033 2700000.0 44.0 25.25 0.0
46 '30' 0.033 2700000.0 44.0 25.5 0.0
47 '30' 0.033 2700000.0 44.0 25.75 0.0
48 '30' 0.033 2700000.0 44.0 26.0 0.0
49 '30' 0.033 2700000.0 44.0 24.0 -0.0001
50 '30' 0.033 2700000.0 44.0 24.0 -8.75e-05
51 '30' 0.033 2700000.0 44.0 24.0 -7.500000000000001e-05
52 '30' 0.033 2700000.0 44.0 24.0 -6.25e-05
53 '30' 0.033 2700000.0 44.0 24.0 -5e-05
54 '30' 0.033 2700000.0 44.0 24.0 -3.7500000000000003e-05
55 '30' 0.033 2700000.0 44.0 24.0 -2.5e-05
56 '30' 0.033 2700000.0 44.0 24.0 -1.25e-05
57 '30' 0.033 2700000.0 44.0 24.0 1.25e-05
58 '30' 0.033 2700000.0 44.0 24.0 2.5e-05
59 '30' 0.033 2700000.0 44.0 24.0 3.7500000000000003e-05
60 '30' 0.033 2700000.0 44.0 24.0 5e-05
61 '30' 0.033 2700000.0 44.0 24.0 6.25e-05
62 '30' 0.033 2700000.0 44.0 24.0 7.500000000000001e-05
63 '30' 0.033 2700000.0 44.0 24.0 8.75e-05
64 '30' 0.033 2700000.0 44.0 24.0 0.0001
65 '45' 0.033 2700000.0 44.0 24.0 0.0
